id,carat,table,depth,y,z,cut,color,clarity,x
3888,0.37,59.0,62.3,4.57,2.86,1,3,6,4.61
3889,0.9,58.0,64.3,6.03,3.86,6,5,7,5.97
3890,1.01,60.0,59.3,6.58,3.89,2,4,7,6.54
3891,1.52,61.0,60.9,7.38,4.5,1,4,5,7.41
3892,1.03,56.3,62.1,6.5,4.02,2,3,2,6.43
3893,0.92,61.0,58.7,6.43,3.75,3,7,7,6.34
3894,0.51,56.0,60.9,5.22,3.16,3,5,2,5.17
3895,1.23,57.0,63.6,6.79,4.3,6,7,5,6.74
3896,0.71,61.0,60.3,5.79,3.48,2,7,3,5.76
3897,0.31,59.0,61.6,4.35,2.67,1,2,5,4.32
3898,0.32,55.0,61.4,4.46,2.73,2,3,5,4.43
3899,1.0,59.0,62.6,6.33,3.95,6,6,5,6.28
3900,0.3,58.0,62.9,4.26,2.69,1,1,7,4.29
3901,0.3,57.0,61.3,4.29,2.64,2,2,5,4.33
3902,0.39,57.0,63.4,4.62,2.94,3,4,3,4.65
3903,0.31,58.0,60.6,4.42,2.67,2,4,4,4.39
3904,0.73,55.0,61.5,5.82,3.57,2,1,5,5.79
3905,0.99,58.0,62.9,6.1,3.91,5,7,8,6.33
3906,0.31,57.0,61.6,4.37,2.68,2,2,3,4.33
3907,0.72,54.0,62.6,5.72,3.6,1,1,6,5.78
3908,0.8,58.0,59.9,5.96,3.59,1,2,7,6.03
3909,0.53,57.0,61.5,5.23,3.21,2,4,4,5.21
3910,0.41,57.0,62.4,4.75,2.94,2,6,3,4.68
3911,2.23,58.0,61.0,8.39,5.11,3,7,5,8.36
3912,0.73,59.0,61.2,5.82,3.57,1,6,4,5.84
3913,1.29,57.0,61.2,7.05,4.3,2,5,4,7.01
3914,1.0,63.0,63.1,6.23,3.96,3,4,7,6.33
3915,1.05,59.0,62.3,6.46,4.01,3,6,7,6.42
3916,0.83,58.0,61.6,6.07,3.73,2,3,5,6.04
3917,1.1,56.0,62.1,6.56,4.12,1,3,7,6.68
3918,0.3,55.0,61.9,4.31,2.66,2,5,5,4.28
3919,2.19,57.0,63.7,8.19,5.23,6,6,7,8.23
3920,0.27,55.0,61.8,4.21,2.57,2,3,1,4.14
3921,0.32,58.0,62.6,4.37,2.73,1,4,6,4.35
3922,0.5,59.0,61.9,5.08,3.15,1,2,4,5.1
3923,0.3,55.0,61.4,4.34,2.65,2,1,6,4.29
3924,0.35,57.0,60.2,4.61,2.76,3,1,6,4.56
3925,0.34,57.0,61.4,4.46,2.75,2,2,4,4.5
3926,0.31,57.0,63.0,4.32,2.73,2,6,6,4.34
3927,0.33,60.0,60.8,4.46,2.73,1,1,5,4.52
3928,0.4,56.0,62.2,4.72,2.94,2,4,4,4.74
3929,0.36,57.0,61.3,4.61,2.84,1,5,6,4.65
3930,1.59,60.0,61.4,7.6,4.63,3,1,5,7.47
3931,0.22,58.0,61.6,3.89,2.41,1,2,5,3.93
3932,1.04,56.0,62.9,6.41,4.06,2,6,5,6.5
3933,0.31,55.0,62.2,4.35,2.71,2,4,6,4.36
3934,1.02,57.0,61.2,6.43,3.98,1,7,6,6.58
3935,1.51,60.0,59.6,7.43,4.44,1,4,6,7.47
3936,1.51,60.0,58.9,7.54,4.42,3,3,4,7.46
3937,2.38,59.0,62.6,8.52,5.32,3,7,5,8.49
3938,1.01,63.5,59.0,6.57,3.86,6,6,4,6.5
3939,1.01,54.0,63.9,6.44,4.08,6,3,7,6.33
3940,0.9,60.0,60.9,6.24,3.79,2,6,4,6.2
3941,1.13,55.0,61.8,6.75,4.16,2,4,6,6.71
3942,0.3,58.0,62.9,4.27,2.67,3,2,5,4.22
3943,1.01,57.0,63.3,6.27,3.99,3,5,5,6.32
3944,0.8,55.0,62.5,5.92,3.69,2,4,7,5.89
3945,1.09,59.0,63.4,6.54,4.16,3,1,7,6.59
3946,1.28,58.0,62.7,6.94,4.33,1,5,6,6.88
3947,0.31,54.0,62.3,4.33,2.71,2,1,6,4.37
3948,0.71,64.0,63.5,5.6,3.57,6,7,5,5.65
3949,2.1,56.0,61.9,8.22,5.08,2,6,7,8.2
3950,0.3,62.0,62.6,4.21,2.65,1,4,2,4.26
3951,1.23,56.0,63.1,6.81,4.29,6,4,6,6.78
3952,0.55,55.0,61.8,5.27,3.24,2,3,6,5.22
3953,0.55,56.0,61.7,5.24,3.25,2,2,6,5.29
3954,0.55,55.0,61.4,5.29,3.24,2,2,6,5.26
3955,0.32,54.0,62.0,4.41,2.72,3,2,5,4.37
3956,0.49,68.0,57.5,5.11,2.96,5,1,5,5.18
3957,0.41,60.1,60.1,4.82,2.89,6,6,4,4.79
3958,0.3,57.0,62.1,4.3,2.66,2,2,3,4.27
3959,0.54,56.0,61.1,5.22,3.2,2,3,7,5.26
3960,0.55,56.0,62.3,5.24,3.27,2,7,4,5.26
3961,0.55,58.0,63.2,5.23,3.3,3,2,6,5.21
3962,0.3,57.0,61.4,4.29,2.65,2,4,4,4.34
3963,0.42,56.0,61.7,4.83,2.97,2,1,6,4.79
3964,1.01,58.0,64.1,6.31,4.03,6,6,7,6.26
3965,0.35,55.0,61.6,4.57,2.81,2,2,6,4.55
3966,0.53,58.0,63.2,5.16,3.25,3,3,5,5.13
3967,0.51,58.0,62.4,5.12,3.19,1,4,5,5.11
3968,1.02,58.0,63.3,6.38,4.05,3,4,4,6.42
3969,0.3,55.0,61.9,4.31,2.66,2,1,3,4.28
3970,0.4,56.0,61.7,4.74,2.92,2,1,5,4.72
3971,1.87,60.0,59.7,8.04,4.78,2,5,4,7.98
3972,0.36,56.0,61.2,4.62,2.82,2,2,5,4.6
3973,0.3,55.0,65.4,4.22,2.77,5,3,5,4.25
3974,0.54,56.0,63.6,5.24,3.31,3,4,4,5.17
3975,1.07,56.0,59.3,6.69,3.97,1,2,5,6.71
3976,0.9,62.0,61.1,6.24,3.8,6,1,6,6.2
3977,0.7,53.0,66.0,5.47,3.63,5,4,6,5.53
3978,0.3,56.0,61.7,4.35,2.67,2,1,6,4.31
3979,0.7,62.0,60.5,5.74,3.45,6,5,3,5.66
3980,0.33,56.0,61.1,4.54,2.76,2,1,5,4.5
3981,1.5,59.0,60.2,7.35,4.45,1,5,7,7.43
3982,1.76,60.0,62.2,7.72,4.79,3,5,5,7.68
3983,0.71,57.0,62.4,5.71,3.55,2,2,4,5.67
3984,0.93,55.0,62.4,6.24,3.88,2,5,6,6.2
3985,0.31,56.0,63.6,4.29,2.72,6,4,5,4.26
3986,0.78,61.0,58.0,6.13,3.54,3,7,6,6.07
3987,0.4,58.0,62.0,4.74,2.92,1,4,3,4.68
3988,0.5,56.0,59.8,5.18,3.11,1,6,7,5.23
3989,0.7,58.0,61.2,5.77,3.52,2,5,6,5.74
3990,1.0,55.0,62.8,6.38,3.98,2,1,6,6.3
3991,1.22,59.0,59.3,7.01,4.14,1,6,5,6.96
3992,0.7,54.0,63.6,5.62,3.59,6,5,7,5.67
3993,0.9,55.0,61.6,6.27,3.85,2,1,6,6.23
3994,0.31,56.0,62.9,4.3,2.71,2,3,5,4.32
3995,0.4,58.0,61.4,4.77,2.94,1,2,6,4.81
3996,0.74,61.0,62.3,5.76,3.6,1,3,6,5.8
3997,1.02,59.0,61.5,6.41,3.95,1,4,5,6.44
3998,0.78,58.0,60.6,5.99,3.64,1,4,7,6.02
3999,1.0,56.0,60.7,6.54,3.95,2,1,2,6.47
4000,0.91,57.0,64.9,6.08,3.96,5,3,6,6.13
4001,0.31,60.0,60.3,4.45,2.67,2,7,3,4.4
4002,0.7,56.0,61.9,5.7,3.52,2,4,5,5.68
4003,0.4,57.0,62.4,4.74,2.97,2,4,2,4.78
4004,1.2,57.0,64.1,6.65,4.27,6,5,7,6.68
4005,0.77,60.0,58.2,5.95,3.48,1,2,7,6.01
4006,0.58,58.0,62.2,5.3,3.31,1,2,4,5.35
4007,1.51,61.0,63.6,7.25,4.56,6,1,6,7.1
4008,0.3,62.0,62.6,4.21,2.65,1,4,5,4.25
4009,0.53,58.0,57.9,5.39,3.11,6,2,7,5.34
4010,0.54,56.0,61.6,5.23,3.23,1,4,4,5.26
4011,0.46,58.0,62.5,4.92,3.06,3,7,4,4.87
4012,0.91,59.0,62.0,6.22,3.85,3,4,7,6.19
4013,0.23,58.0,63.0,3.95,2.48,3,2,3,3.92
4014,1.91,58.0,62.8,7.89,4.93,6,6,7,7.82
4015,0.9,62.0,64.4,6.02,3.86,6,4,5,5.97
4016,0.32,55.0,61.6,4.46,2.74,2,5,3,4.43
4017,0.23,58.0,59.7,4.06,2.41,3,3,3,4.02
4018,0.88,59.0,62.0,6.13,3.79,3,3,3,6.09
4019,0.59,59.0,58.6,5.57,3.25,3,3,7,5.53
4020,0.82,57.0,60.8,6.05,3.67,2,1,5,6.02
4021,0.8,55.0,63.2,5.88,3.72,3,3,5,5.9
4022,0.63,56.0,61.5,5.53,3.4,2,1,6,5.52
4023,2.0,59.0,65.2,7.69,5.03,5,6,7,7.74
4024,1.01,58.0,62.4,6.41,3.99,1,4,7,6.38
4025,1.02,57.0,63.1,6.44,4.04,3,5,4,6.38
4026,2.0,62.0,62.8,8.03,5.03,6,3,6,8.0
4027,1.06,57.0,64.5,6.33,4.13,5,6,8,6.47
4028,0.37,57.0,61.3,4.64,2.83,2,4,5,4.6
4029,1.25,62.0,63.0,6.82,4.3,1,1,7,6.86
4030,0.5,60.0,62.5,5.08,3.17,1,4,4,5.06
4031,1.08,58.0,62.1,6.57,4.09,1,3,6,6.61
4032,0.37,55.0,63.3,4.58,2.91,3,4,7,4.61
4033,0.51,58.0,64.1,5.02,3.22,6,3,6,5.03
4034,0.74,56.0,62.5,5.76,3.61,2,3,6,5.8
4035,0.7,60.0,61.8,5.63,3.49,1,3,2,5.67
4036,1.12,61.0,59.8,6.85,4.06,6,5,6,6.72
4037,1.06,57.0,61.6,6.55,4.03,2,4,2,6.53
4038,0.51,58.0,62.5,5.09,3.19,1,5,4,5.12
4039,0.4,56.0,61.3,4.76,2.91,2,3,2,4.73
4040,0.73,57.0,63.3,5.69,3.61,3,2,7,5.72
4041,2.07,56.0,62.5,8.08,5.08,2,7,7,8.18
4042,0.25,61.0,59.7,4.08,2.44,1,2,5,4.1
4043,0.62,57.0,61.9,5.55,3.41,2,1,4,5.47
4044,0.33,59.0,62.8,4.44,2.77,3,5,5,4.38
4045,1.52,62.0,60.6,7.37,4.48,1,1,7,7.42
4046,0.54,56.0,60.1,5.28,3.18,2,3,5,5.31
4047,1.0,55.0,61.0,6.41,3.92,2,3,7,6.45
4048,0.44,56.0,62.8,4.88,3.05,3,6,4,4.83
4049,0.9,58.0,64.2,6.04,3.87,6,4,6,6.01
4050,1.31,59.0,59.2,7.18,4.23,2,4,3,7.12
4051,0.54,54.0,61.8,5.27,3.25,2,3,4,5.24
4052,0.54,57.0,61.1,5.29,3.2,2,1,5,5.19
4053,0.71,60.0,61.6,5.64,3.49,1,1,7,5.7
4054,0.48,58.5,62.7,5.01,3.14,3,2,6,4.99
4055,1.01,58.0,61.7,6.43,3.98,1,3,5,6.47
4056,0.92,59.0,62.6,6.23,3.89,1,3,6,6.19
4057,1.01,61.0,61.0,6.39,3.92,1,5,5,6.47
4058,0.8,56.0,61.4,5.93,3.66,2,3,7,5.99
4059,0.4,56.0,62.5,4.72,2.93,3,2,5,4.66
4060,1.23,62.0,58.9,6.97,4.12,1,4,7,7.03
4061,1.18,56.0,61.9,6.76,4.2,2,4,4,6.81
4062,0.72,58.0,62.9,5.72,3.59,3,1,6,5.7
4063,0.3,54.0,62.4,4.34,2.7,2,5,5,4.31
4064,0.9,60.0,61.0,6.12,3.75,1,4,6,6.17
4065,0.3,56.0,62.5,4.3,2.68,3,2,3,4.28
4066,0.77,64.0,59.4,5.92,3.53,6,4,4,5.97
4067,0.7,57.0,62.2,5.67,3.54,2,2,6,5.72
4068,0.32,58.0,60.5,4.48,2.7,1,2,5,4.44
4069,1.5,58.0,64.8,7.15,4.6,5,6,7,7.05
4070,0.31,54.0,63.0,4.37,2.74,3,4,5,4.33
4071,0.36,59.0,61.0,4.57,2.8,1,1,5,4.61
4072,1.5,62.0,59.4,7.35,4.38,2,7,6,7.38
4073,0.57,56.0,61.6,5.34,3.3,2,3,5,5.37
4074,0.79,59.0,62.8,5.9,3.69,3,1,7,5.86
4075,0.31,56.0,62.5,4.34,2.69,2,4,2,4.29
4076,0.71,57.0,61.5,5.78,3.54,2,2,7,5.74
4077,0.31,58.0,60.5,4.43,2.67,1,5,2,4.4
4078,1.07,58.0,61.7,6.56,4.04,3,2,7,6.54
4079,1.22,56.0,61.9,6.83,4.24,2,5,6,6.86
4080,0.31,57.0,63.1,4.28,2.71,3,3,6,4.31
4081,0.32,55.0,62.1,4.36,2.72,2,2,5,4.4
4082,1.01,58.0,61.5,6.4,3.95,1,2,7,6.43
4083,0.35,57.0,60.9,4.51,2.76,2,1,5,4.55
4084,0.23,57.0,61.3,4.02,2.45,3,2,3,3.97
4085,0.27,55.0,62.2,4.18,2.59,2,6,4,4.15
4086,1.54,62.0,62.9,7.36,4.61,6,7,6,7.3
4087,0.55,57.0,61.4,5.31,3.25,2,1,5,5.27
4088,0.4,56.0,61.7,4.72,2.92,2,3,3,4.74
4089,0.9,61.0,58.0,6.34,3.71,1,2,5,6.45
4090,0.7,60.0,61.1,5.75,3.49,3,6,5,5.67
4091,1.15,57.0,64.6,6.5,4.23,5,4,4,6.6
4092,0.79,56.0,61.7,5.95,3.67,2,6,3,5.94
4093,0.81,56.0,61.4,6.05,3.7,2,5,6,6.0
4094,1.1,56.0,61.6,6.61,4.08,2,2,7,6.64
4095,0.32,54.0,62.1,4.4,2.74,2,2,5,4.42
4096,1.07,57.0,61.3,6.62,4.05,2,5,3,6.6
4097,0.7,57.0,60.6,5.78,3.49,2,5,6,5.73
4098,0.8,58.0,60.1,6.05,3.64,1,3,6,6.07
4099,0.9,58.0,63.6,6.13,3.89,3,3,6,6.1
4100,1.09,61.0,59.0,6.75,3.98,1,6,5,6.78
4101,0.57,56.0,61.3,5.36,3.28,2,3,1,5.32
4102,0.42,54.0,62.1,4.8,2.99,2,1,5,4.83
4103,1.04,63.0,61.4,6.55,4.01,3,4,5,6.51
4104,2.0,55.0,62.4,7.94,4.99,2,5,5,8.03
4105,0.4,55.0,62.2,4.71,2.94,2,2,6,4.75
4106,1.01,58.0,65.5,6.25,4.05,6,3,6,6.11
4107,0.52,56.0,61.3,5.2,3.18,2,2,3,5.18
4108,0.37,59.0,60.4,4.68,2.81,1,1,6,4.62
4109,1.22,59.0,62.6,4.24,3.76,1,7,7,6.79
4110,1.6,55.0,61.1,7.58,4.62,2,3,6,7.55
4111,1.0,56.0,62.5,6.42,4.0,3,3,6,6.38
4112,0.7,59.0,67.3,5.45,3.69,5,4,8,5.51
4113,1.06,54.0,62.5,6.6,4.1,2,1,5,6.53
4114,0.38,58.0,63.3,4.57,2.91,3,5,2,4.62
4115,0.91,55.0,62.0,6.24,3.86,2,3,6,6.21
4116,0.61,58.0,60.8,5.49,3.33,3,7,6,5.46
4117,0.37,55.0,61.7,4.67,2.87,2,5,5,4.64
4118,1.0,58.0,61.9,6.49,3.99,3,3,5,6.41
4119,0.46,54.0,62.0,5.0,3.09,2,4,2,4.97
4120,0.9,63.0,63.1,6.1,3.83,6,5,6,6.04
4121,0.32,56.0,62.1,4.43,2.74,2,2,5,4.4
4122,0.5,54.1,61.9,5.15,3.17,2,2,4,5.09
4123,0.31,56.0,62.1,4.37,2.7,2,1,6,4.33
4124,1.01,60.0,62.3,6.27,3.92,1,5,5,6.32
4125,0.3,54.0,62.5,4.29,2.69,2,6,4,4.32
4126,1.21,59.0,62.9,6.74,4.22,3,4,3,6.68
4127,1.54,54.0,63.0,7.28,4.6,2,1,6,7.33
4128,1.59,59.0,60.3,7.55,4.57,1,3,7,7.6
4129,1.01,62.0,63.2,6.33,3.99,6,7,4,6.29
4130,0.72,56.0,62.7,5.75,3.58,2,7,6,5.67
4131,0.7,56.0,61.6,5.65,3.5,2,7,5,5.71
4132,1.7,60.0,61.9,7.61,4.7,3,5,5,7.57
4133,0.74,55.0,61.7,5.87,3.61,2,7,3,5.83
4134,0.56,56.0,61.7,5.33,3.28,2,2,6,5.3
4135,0.71,60.0,59.1,5.84,3.46,1,2,6,5.87
4136,0.33,54.0,61.8,4.5,2.77,2,4,6,4.46
4137,0.3,58.0,61.7,4.37,2.67,1,6,3,4.28
4138,1.07,61.0,62.9,6.41,4.05,1,5,6,6.47
4139,1.01,56.0,62.1,6.39,3.98,2,2,7,6.43
4140,0.31,57.0,60.5,4.43,2.67,2,4,2,4.39
4141,0.31,56.0,61.8,4.34,2.69,2,1,6,4.37
4142,0.55,56.0,60.6,5.36,3.24,3,2,3,5.33
4143,0.9,58.0,63.0,6.11,3.84,6,2,7,6.08
4144,0.24,57.0,62.3,4.02,2.49,2,4,4,3.99
4145,1.01,60.0,59.7,6.55,3.89,3,6,6,6.49
4146,1.02,56.0,61.5,6.49,3.99,2,1,5,6.46
4147,1.22,58.0,62.2,6.91,4.28,3,1,7,6.85
4148,1.05,57.0,60.6,6.55,3.98,2,5,7,6.59
4149,0.44,55.0,62.3,4.88,3.03,2,1,4,4.85
4150,0.71,53.0,61.6,5.73,3.55,2,2,6,5.79
4151,0.38,53.5,62.6,4.66,2.9,2,2,4,4.61
4152,0.52,56.0,61.5,5.16,3.18,2,6,4,5.19
4153,1.0,56.0,62.3,6.38,3.99,2,7,4,6.43
4154,0.51,55.0,62.2,5.16,3.2,2,4,4,5.13
4155,1.7,53.0,62.0,7.65,4.75,2,7,7,7.68
4156,0.36,57.0,61.4,4.61,2.54,2,2,2,4.64
4157,0.44,56.0,61.8,4.94,3.04,2,4,3,4.9
4158,1.06,60.0,59.6,6.71,3.99,3,1,5,6.68
4159,1.0,59.0,60.3,6.44,3.89,1,1,6,6.47
4160,0.4,56.0,62.0,4.73,2.94,2,3,3,4.76
4161,1.73,58.0,62.0,7.69,4.74,3,6,7,7.6
4162,0.77,56.0,61.1,5.92,3.61,3,5,3,5.89
4163,1.21,54.0,62.4,6.8,4.26,2,2,5,6.86
4164,0.39,58.0,63.5,4.59,2.93,3,7,4,4.64
4165,0.81,59.0,60.8,5.95,3.63,1,2,6,5.99
4166,0.29,59.0,61.8,4.27,2.62,3,2,4,4.21
4167,0.32,55.0,61.4,4.4,2.72,2,4,5,4.46
4168,0.6,55.0,61.7,5.44,3.35,2,2,4,5.41
4169,0.5,61.0,61.3,5.04,3.11,1,1,5,5.1
4170,0.3,58.0,63.7,4.24,2.71,6,2,6,4.27
4171,0.77,54.0,62.7,5.89,3.67,3,4,2,5.84
4172,0.33,59.0,62.4,4.41,2.77,1,4,4,4.47
4173,0.71,58.0,61.8,5.81,3.56,3,3,6,5.72
4174,0.23,57.0,61.9,3.96,2.44,2,3,3,3.93
4175,0.36,55.9,61.4,4.62,2.82,2,3,1,4.58
4176,0.56,57.0,60.7,5.36,3.24,3,2,3,5.31
4177,1.41,59.0,61.4,7.2,4.41,3,3,7,7.17
4178,0.36,63.0,61.2,4.56,2.8,3,4,6,4.59
4179,2.13,58.0,62.8,8.17,5.12,3,7,6,8.13
4180,0.41,57.0,62.0,4.76,2.94,2,3,4,4.73
4181,0.28,56.0,62.3,4.19,2.6,3,4,3,4.16
4182,1.11,56.0,62.2,6.65,4.13,2,6,6,6.62
4183,0.9,58.0,64.0,6.07,3.87,6,2,5,6.02
4184,1.0,57.0,59.6,6.42,3.83,2,2,5,6.43
4185,0.3,56.0,61.8,4.31,2.67,2,2,3,4.33
4186,0.72,52.0,62.8,5.72,3.61,1,2,6,5.78
4187,0.54,59.0,59.6,5.26,3.16,1,2,5,5.32
4188,0.9,56.0,62.4,6.16,3.87,2,1,7,6.24
4189,1.0,61.0,62.3,6.33,3.96,1,3,4,6.38
4190,0.31,55.0,62.0,4.38,2.7,2,2,4,4.35
4191,1.39,56.0,62.2,7.15,4.46,2,3,7,7.2
4192,0.9,58.0,62.7,6.2,3.87,1,5,6,6.14
4193,0.27,55.0,61.0,4.2,2.56,2,2,5,4.18
4194,1.79,60.0,60.9,7.83,4.76,1,7,6,7.79
4195,0.9,57.0,64.3,6.16,3.93,6,3,7,6.06
4196,0.7,60.0,62.4,5.63,3.54,1,2,6,5.72
4197,1.01,54.0,65.7,6.28,4.14,5,4,5,6.32
4198,0.74,58.0,62.7,5.77,3.6,1,2,5,5.72
4199,1.03,59.0,62.8,6.43,4.03,3,5,7,6.4
4200,0.72,57.0,60.7,5.81,3.51,2,6,4,5.78
4201,1.02,56.0,61.1,6.54,3.99,2,4,4,6.51
4202,2.03,56.0,61.1,8.17,5.01,2,6,7,8.22
4203,0.7,57.0,62.8,5.66,3.54,3,3,6,5.61
4204,0.32,60.0,62.3,4.37,2.73,1,4,5,4.4
4205,1.5,60.0,59.4,7.5,4.47,2,6,6,7.54
4206,0.34,60.0,61.7,4.49,2.76,3,4,4,4.45
4207,0.31,58.0,61.5,4.31,2.66,1,4,3,4.34
4208,2.21,57.0,61.6,8.43,5.18,2,6,6,8.38
4209,0.72,59.0,65.8,5.58,3.65,6,5,7,5.51
4210,1.81,57.0,68.0,7.39,5.04,5,7,8,7.43
4211,1.0,55.0,61.1,6.51,3.97,3,3,3,6.49
4212,0.3,60.0,62.9,4.29,2.69,3,4,4,4.26
4213,0.54,55.0,61.9,5.24,3.23,2,2,5,5.2
4214,0.32,59.0,59.4,4.47,2.65,3,3,2,4.45
4215,1.0,59.0,63.2,6.3,4.0,3,3,5,6.35
4216,0.5,61.0,63.7,4.99,3.19,6,3,6,5.02
4217,1.5,57.0,62.0,7.33,4.52,3,2,6,7.25
4218,1.01,56.0,62.4,6.39,4.0,2,4,4,6.44
4219,1.53,56.0,62.3,7.4,4.6,2,6,6,7.37
4220,1.52,58.0,64.6,7.21,4.68,5,6,6,7.24
4221,2.16,60.0,62.3,8.31,5.14,3,5,7,8.19
4222,1.5,59.0,63.6,7.22,4.56,6,3,5,7.13
4223,1.3,58.0,62.5,6.95,4.33,3,4,4,6.9
4224,0.32,58.0,62.2,4.39,2.72,3,2,6,4.36
4225,0.3,60.0,62.6,4.26,2.65,3,5,2,4.21
4226,0.33,55.0,60.5,4.47,2.73,2,3,5,4.55
4227,1.2,59.0,63.3,6.64,4.23,3,4,2,6.72
4228,1.22,58.0,62.0,6.85,4.26,1,4,3,6.9
4229,0.7,60.0,62.1,5.71,3.55,1,1,7,5.73
4230,0.41,60.0,60.5,4.81,2.9,1,1,6,4.77
4231,0.5,58.0,63.4,5.02,3.2,3,7,5,5.07
4232,0.33,55.0,62.3,4.44,2.76,2,4,2,4.42
4233,0.42,58.0,59.8,4.86,2.92,1,4,5,4.9
4234,1.02,54.0,62.3,6.39,4.01,2,5,5,6.48
4235,0.38,54.1,62.0,4.68,2.9,2,3,3,4.66
4236,0.3,56.0,63.2,4.27,2.69,6,1,6,4.24
4237,0.73,57.0,59.9,5.82,3.5,2,2,7,5.87
4238,1.51,57.0,60.6,7.45,4.52,2,5,5,7.46
4239,0.31,55.0,61.2,4.39,2.68,2,7,4,4.37
4240,1.51,60.0,62.4,7.3,4.57,1,4,4,7.34
4241,0.35,58.0,62.1,4.46,2.79,1,5,2,4.52
4242,0.55,60.0,60.5,5.27,3.2,1,1,6,5.3
4243,1.17,64.0,60.0,6.77,4.08,6,4,4,6.82
4244,0.3,57.0,62.9,4.26,2.69,2,3,5,4.29
4245,0.86,57.0,62.2,6.1,3.78,2,4,4,6.05
4246,0.97,56.0,60.7,6.41,3.9,2,3,8,6.43
4247,0.31,57.0,61.3,4.42,2.7,2,4,1,4.39
4248,0.53,58.0,60.1,5.32,3.18,3,4,4,5.27
4249,1.01,58.0,60.1,6.52,3.93,1,5,7,6.55
4250,0.42,58.0,62.0,4.79,2.98,1,5,2,4.82
4251,0.31,57.0,62.5,4.31,2.71,2,4,2,4.36
4252,0.35,57.0,62.6,4.45,2.79,2,5,2,4.47
4253,1.5,55.0,62.4,7.34,4.56,6,3,7,7.27
4254,0.82,54.0,62.1,6.03,3.73,2,2,6,5.98
4255,1.0,57.0,62.6,6.42,4.0,3,3,4,6.35
4256,0.41,56.0,61.0,4.81,2.94,1,4,5,4.83
4257,1.1,57.0,61.4,6.64,4.08,2,5,4,6.65
4258,0.5,54.0,62.1,5.11,3.18,2,2,5,5.13
4259,0.3,58.0,61.0,4.31,2.62,1,5,4,4.28
4260,0.42,60.0,61.1,4.79,2.94,1,1,6,4.83
4261,0.3,60.0,60.4,4.3,2.61,1,5,1,4.34
4262,1.02,58.0,63.5,6.38,4.04,3,5,7,6.34
4263,0.56,65.0,61.7,5.23,3.22,6,2,4,5.21
4264,0.3,55.0,61.8,4.33,2.68,2,2,5,4.35
4265,0.56,59.0,60.6,5.29,3.22,1,6,2,5.33
4266,1.0,57.0,62.4,6.36,3.99,2,5,5,6.42
4267,0.7,54.0,62.0,5.76,3.56,2,1,6,5.73
4268,1.01,59.0,62.8,6.33,4.0,1,3,5,6.41
4269,0.3,58.0,60.5,4.38,2.64,3,4,1,4.35
4270,2.01,56.0,62.7,8.03,5.05,2,7,6,8.08
4271,0.41,60.0,60.9,4.82,2.93,1,2,3,4.81
4272,0.4,61.0,62.2,4.71,2.92,3,7,1,4.68
4273,0.54,60.0,62.7,5.1,3.21,1,2,4,5.14
4274,1.0,66.0,65.6,6.01,3.97,5,1,7,6.1
4275,0.7,59.0,61.7,5.68,3.5,1,5,5,5.66
4276,0.41,59.0,59.8,4.85,2.89,1,3,6,4.82
4277,1.01,59.0,63.6,6.32,4.03,6,3,5,6.36
4278,1.01,59.0,62.4,6.32,3.96,1,4,3,6.37
4279,0.32,54.0,62.2,4.45,2.76,2,4,1,4.42
4280,0.27,55.0,61.8,4.19,2.58,2,3,1,4.16
4281,0.6,59.0,61.5,5.43,3.33,3,1,5,5.4
4282,1.36,56.0,61.9,7.08,4.41,1,6,5,7.17
4283,0.43,56.0,61.2,4.9,2.99,2,5,4,4.87
4284,0.36,61.0,60.9,4.61,2.8,3,6,4,4.58
4285,0.3,57.0,62.2,4.26,2.66,2,5,3,4.29
4286,0.35,65.0,61.3,4.53,2.77,6,2,4,4.51
4287,0.69,61.7,58.4,5.82,3.38,6,3,6,5.75
4288,0.66,56.0,64.1,5.46,3.51,6,3,5,5.5
4289,0.44,59.0,62.3,4.82,3.02,1,4,4,4.87
4290,0.52,55.3,61.4,5.21,3.19,2,4,3,5.18
4291,0.57,60.0,59.3,5.48,3.24,2,5,6,5.44
4292,0.3,56.0,60.8,4.39,2.66,2,1,4,4.37
4293,1.0,58.0,61.7,6.35,3.94,1,2,6,6.42
4294,0.31,56.0,61.7,4.41,2.71,2,2,2,4.38
4295,0.3,57.0,63.5,4.21,2.69,3,3,6,4.26
4296,0.71,59.0,62.8,5.71,3.57,3,2,2,5.66
4297,0.29,62.0,64.7,4.11,2.67,5,1,5,4.14
4298,0.26,56.0,62.3,4.1,2.55,2,3,4,4.08
4299,0.46,53.4,62.4,5.01,3.1,2,5,2,4.95
4300,0.58,56.0,62.6,5.27,3.32,2,2,4,5.33
4301,0.3,62.0,61.5,4.34,2.65,6,2,2,4.28
4302,1.21,59.0,61.6,6.77,4.19,1,3,4,6.84
4303,0.32,57.0,62.3,4.44,2.73,3,7,6,4.33
4304,0.33,55.0,61.6,4.51,2.77,2,5,1,4.48
4305,0.52,63.0,58.6,5.34,3.11,6,3,4,5.27
4306,0.5,56.0,62.0,5.11,3.16,3,1,4,5.09
4307,1.01,59.0,61.9,6.45,3.98,1,4,3,6.41
4308,0.55,55.0,61.3,5.31,3.25,2,3,5,5.29
4309,1.23,62.0,58.5,7.0,4.09,3,5,5,6.98
4310,0.6,58.0,63.3,5.31,3.37,3,4,6,5.34
